"ST24Q01","ST24Q02","ST24Q03","ST24Q04"
"Disagree","Strongly agree","Strongly agree","Strongly disagree"
"Agree","Strongly disagree","Strongly disagree","Strongly agree"
"Strongly agree","Strongly disagree","Strongly disagree","Agree"
"Disagree","Disagree","Agree","Strongly disagree"
"Strongly disagree","Disagree","Strongly disagree","Disagree"
"Agree","Strongly disagree","Strongly disagree","Agree"
"Disagree","Disagree","Disagree","Strongly agree"
"Agree","Strongly disagree","Strongly disagree","Agree"
"Agree","Agree","Disagree","Agree"
"Strongly agree","Strongly disagree","Strongly disagree","Agree"
"Disagree","Disagree","Strongly agree","Strongly agree"
"Agree","Disagree","Disagree","Disagree"
"Strongly disagree","Disagree","Strongly disagree","Disagree"
"Strongly disagree","Agree","Agree","Disagree"
"Strongly disagree","Disagree","Strongly agree","Strongly disagree"
"Strongly disagree","Strongly agree","Disagree","Disagree"
"Strongly disagree","Disagree","Strongly agree","Strongly disagree"
"Disagree","Strongly agree","Agree","Disagree"
"Strongly disagree","Strongly agree","Agree","Strongly disagree"
"Disagree","Agree","Agree","Strongly disagree"
"Disagree","Agree","Agree","Disagree"
"Agree","Disagree","Strongly disagree","Disagree"
"Strongly agree","Strongly disagree","Strongly disagree","Disagree"
"Disagree","Disagree","Strongly disagree","Agree"
"Agree","Disagree","Strongly disagree","Strongly agree"
"Disagree","Disagree","Agree","Agree"
"Strongly disagree","Agree","Disagree","Strongly disagree"
"Disagree","Disagree","Disagree","Agree"
"Strongly disagree","Agree","Agree","Strongly disagree"
"Strongly agree","Disagree","Disagree","Agree"
"Disagree","Disagree","Strongly disagree","Strongly disagree"
"Disagree","Disagree","Agree","Strongly disagree"
"Disagree","Disagree","Agree","Disagree"
"Strongly disagree","Agree","Agree","Strongly disagree"
"Strongly disagree","Strongly agree","Agree","Strongly disagree"
"Strongly disagree","Agree","Agree","Strongly disagree"
"Strongly disagree","Agree","Agree","Strongly disagree"
"Disagree","Disagree","Strongly disagree","Disagree"
"Disagree","Disagree","Agree","Disagree"
"Strongly disagree","Agree","Disagree","Disagree"
"Strongly disagree","Agree","Agree","Disagree"
"Disagree","Disagree","Disagree","Disagree"
"Strongly disagree","Strongly agree","Agree","Strongly disagree"
"Disagree","Disagree","Agree","Disagree"
"Disagree","Disagree","Disagree","Disagree"
"Disagree","Agree","Agree","Disagree"
"Strongly disagree","Disagree","Strongly agree","Disagree"
"Strongly disagree","Agree","Agree","Strongly disagree"
"Disagree","Disagree","Strongly disagree","Disagree"
"Strongly disagree","Strongly agree","Strongly agree","Strongly disagree"
"Disagree","Disagree","Agree","Strongly disagree"
"Disagree","Agree","Disagree","Agree"
"Disagree","Disagree","Agree","Strongly disagree"
"Disagree","Agree","Disagree","Strongly disagree"
"Agree","Disagree","Strongly disagree","Disagree"
"Agree","Disagree","Agree","Disagree"
"Disagree","Disagree","Agree","Disagree"
"Strongly disagree","Strongly agree","Strongly agree","Disagree"
"Disagree","Disagree","Agree","Disagree"
"Disagree","Disagree","Agree","Disagree"
"Strongly disagree","Agree","Agree","Strongly disagree"
"Disagree","Strongly disagree","Agree","Disagree"
"Strongly disagree","Agree","Agree","Disagree"
"Strongly disagree","Strongly agree","Agree","Disagree"
"Agree","Disagree","Disagree","Agree"
"Disagree","Disagree","Strongly disagree","Strongly disagree"
"Strongly disagree","Strongly agree","Strongly agree","Strongly disagree"
"Agree","Strongly disagree","Disagree","Disagree"
"Agree","Disagree","Disagree","Strongly disagree"
"Strongly disagree","Agree","Strongly agree","Disagree"
"Strongly disagree","Strongly agree","Strongly agree","Disagree"
"Strongly agree","Disagree","Disagree","Agree"
"Disagree","Agree","Agree","Disagree"
"Strongly disagree","Agree",NA,"Strongly disagree"
"Strongly agree","Strongly disagree","Disagree","Disagree"
"Agree","Disagree","Agree","Disagree"
"Disagree","Strongly disagree","Disagree","Agree"
"Agree","Disagree","Strongly disagree","Disagree"
"Agree","Strongly disagree","Agree","Agree"
NA,"Disagree","Disagree","Disagree"
"Strongly disagree","Strongly agree","Strongly agree","Disagree"
"Agree","Disagree","Disagree","Disagree"
"Strongly disagree","Agree","Agree","Disagree"
"Disagree","Agree","Agree","Disagree"
"Disagree","Disagree","Agree","Agree"
"Disagree","Disagree","Strongly disagree","Disagree"
"Disagree","Disagree","Strongly agree","Agree"
"Disagree","Agree","Agree","Agree"
"Strongly disagree","Strongly agree","Strongly agree","Disagree"
